,kidneySRR8374780,kidneySRR8374781,liverSRR8374774,liverSRR8374775,lungSRR8374778,lungSRR8374779,sIntestineSRR8374776,sIntestineSRR8374777
ENSMUSG00000000838,1635,793,977,1186,1927,735,387,280
ENSMUSG00000000861,0,1,1,4,39,65,26,30
ENSMUSG00000000869,52,72,12,9,120,167,20,10
ENSMUSG00000000876,2702,3148,1303,1757,541,706,421,433
ENSMUSG00000000881,151,345,98,146,302,388,915,532
ENSMUSG00000000884,56,97,14,40,79,114,63,76
ENSMUSG00000000889,0,0,1,0,2,2,9,2
ENSMUSG00000000901,73,156,8,11,445,838,21,31
ENSMUSG00000000902,377,592,125,146,663,1000,383,375
ENSMUSG00000000903,6,1,3,6,310,373,11,13
ENSMUSG00000000915,289,640,120,217,823,1223,844,909
ENSMUSG00000000916,129,217,63,110,201,253,93,108
ENSMUSG00000000934,290,467,110,146,48,55,33,55
ENSMUSG00000000938,1273,688,472,681,603,0,6,3
ENSMUSG00000000942,0,0,0,0,0,0,0,0
ENSMUSG00000000948,9,82,10,8,12,10,35,5
ENSMUSG00000000957,63,134,183,272,857,1137,271,318
ENSMUSG00000000958,1902,2953,45,41,292,363,2585,1811
ENSMUSG00000000959,1150,1158,371,473,490,659,521,546
ENSMUSG00000000976,157,377,141,210,353,437,349,298
ENSMUSG00000000982,6,2,0,1,21,48,11,25
ENSMUSG00000000983,2,0,3,1,18,11,0,34
ENSMUSG00000001014,0,0,0,0,0,0,0,0
ENSMUSG00000001016,322,539,105,181,680,951,350,296
ENSMUSG00000001017,761,1430,411,589,1732,2292,821,814
ENSMUSG00000001018,369,531,115,167,863,1191,175,195
ENSMUSG00000001020,4,4,11,13,43,64,1,1
ENSMUSG00000001021,0,0,0,0,4,3,0,0
ENSMUSG00000001023,0,0,0,0,0,0,1,1
ENSMUSG00000001025,133,111,19,53,2068,2884,285,286
ENSMUSG00000001027,0,4,0,0,23,25,2,0
ENSMUSG00000001029,109,146,36,30,2239,3433,36,38
ENSMUSG00000001034,54,108,11,8,302,474,121,96
ENSMUSG00000001036,325,558,66,114,1600,2311,154,136
ENSMUSG00000001039,159,211,3,7,162,228,21,25
ENSMUSG00000001052,257,785,151,195,901,1161,379,347
ENSMUSG00000001053,119,243,32,28,581,676,41,30
ENSMUSG00000001054,603,737,112,159,387,650,183,180
ENSMUSG00000001056,728,672,118,138,214,331,248,298
ENSMUSG00000001062,0,0,0,0,0,0,0,0
ENSMUSG00000001065,0,0,0,0,0,0,0,0
ENSMUSG00000001076,7,5,3,3,0,0,0,0
ENSMUSG00000001082,111,220,28,34,352,582,165,186
ENSMUSG00000001089,187,666,79,108,636,843,955,643
ENSMUSG00000001095,35,95,1,2,1,2,116,26
ENSMUSG00000001098,91,170,21,38,584,731,139,81
ENSMUSG00000001100,1735,2054,545,612,504,706,354,366
ENSMUSG00000001103,0,0,4,7,0,1,0,0
ENSMUSG00000001105,617,540,305,381,822,1087,767,960
ENSMUSG00000001119,103,225,52,55,2471,2827,497,572
ENSMUSG00000001120,285,668,13,15,316,444,34,42
ENSMUSG00000001123,208,228,5073,6763,1900,2552,7456,5791
ENSMUSG00000001127,906,2103,575,692,1467,1996,853,745
ENSMUSG00000001128,23,108,308,286,546,694,85,80
ENSMUSG00000001131,0,0,0,0,0,0,0,0
ENSMUSG00000001134,300,337,110,122,162,233,131,154
ENSMUSG00000001138,174,438,89,124,310,450,83,105
ENSMUSG00000001143,525,1087,162,126,418,450,136,120
ENSMUSG00000001150,159,406,107,147,369,562,186,188
ENSMUSG00000001151,129,400,32,69,589,841,189,180
ENSMUSG00000001155,243,515,4360,5277,15,18,0,1
ENSMUSG00000001156,79,158,35,51,295,521,4300,2530
ENSMUSG00000001157,286,502,95,127,281,415,382,327
ENSMUSG00000001158,401,494,84,128,438,545,192,213
ENSMUSG00000001166,10,15,2,2,14,22,5,6
ENSMUSG00000001168,0,2,0,1,8,1,11,8
ENSMUSG00000001173,127,448,45,80,423,537,98,126
ENSMUSG00000001175,4376,4318,2047,2776,9162,9795,18575,13977
ENSMUSG00000001211,4206,6551,1366,1667,1123,1540,1101,1042
ENSMUSG00000001225,4,2,2,2,11,4,2331,1962
ENSMUSG00000001227,16,60,19,22,130,132,34,35
ENSMUSG00000001228,31,42,2,4,173,189,271,278
ENSMUSG00000001229,479,691,469,577,1009,1299,486,442
ENSMUSG00000001240,190,242,83,81,5980,8665,83,94
ENSMUSG00000001247,222,353,479,522,195,224,645,384
ENSMUSG00000001248,155,444,99,128,1000,1496,240,262
ENSMUSG00000001249,4941,7456,3138,3360,202,192,18,24
ENSMUSG00000001260,3,6,0,0,0,0,0,0
ENSMUSG00000001270,2158,2636,34,58,829,1138,3410,5075
ENSMUSG00000001280,331,1048,242,319,1055,1483,817,584
ENSMUSG00000001281,29,31,9,18,566,769,129,159
ENSMUSG00000001285,346,457,109,147,407,615,246,198
ENSMUSG00000001288,91,260,51,41,716,1128,27,35
ENSMUSG00000001289,852,935,248,249,1180,1662,496,563
ENSMUSG00000001300,84,216,22,31,1775,3338,633,577
ENSMUSG00000001305,146,158,31,75,128,176,84,97
ENSMUSG00000001313,140,177,120,133,123,182,283,290
ENSMUSG00000001323,312,1073,247,334,100,108,205,101
ENSMUSG00000001333,3,10,8,3,11,11,3,6
ENSMUSG00000001334,27,46,3,2,78,98,22,25
ENSMUSG00000001348,0,0,0,0,0,0,0,0
ENSMUSG00000001349,25,48,3,5,624,812,643,701
ENSMUSG00000001366,1088,1449,655,867,874,1111,710,566
ENSMUSG00000001376,294,587,78,102,352,412,241,209
ENSMUSG00000001380,698,847,286,304,537,806,332,365
ENSMUSG00000001383,774,1102,169,277,838,1055,606,602
ENSMUSG00000001403,12,16,5,9,129,174,627,601
ENSMUSG00000001415,429,994,161,234,610,897,511,508
ENSMUSG00000001416,1839,2619,886,921,1749,2098,1319,1325
ENSMUSG00000001418,1739,2217,386,413,1027,1397,781,738
ENSMUSG00000001419,254,869,250,309,1030,1570,645,474
ENSMUSG00000001420,136,163,39,32,73,102,135,132
ENSMUSG00000001424,457,825,709,657,745,1033,673,735
ENSMUSG00000001435,220,722,764,1580,81,100,45,37
ENSMUSG00000001436,1333,2007,45,68,101,138,357,455
ENSMUSG00000001440,615,1388,457,544,1115,1530,1011,858
ENSMUSG00000001441,881,1374,350,347,1285,1322,1704,1220
ENSMUSG00000001444,0,5,0,0,32,50,17,17
ENSMUSG00000001445,806,1058,250,347,439,547,401,346
ENSMUSG00000001467,2862,4191,683,636,306,480,374,321
ENSMUSG00000001472,0,0,0,0,0,0,0,0
